sorszám;cím;alcím;ünnepkör/téma;kategória;előjegyzés;versszakok száma
1;Kiáltsunk Krisztus hívei;Himnusz Krisztus hármas eljöveteléről;Advent;himnusz;2#;9
2;Népek megváltó Istene;;Advent;himnusz;1#;8
3;Harmatozzatok, égi magasok;;Advent;népének;1b;5
4;Hozzád emelem szómat, Istenem;;Advent;népének;2#;5
5;Küldé az Úristen;;Advent;szekvencia;3b;10
6;Ó jöjj, ó jöjj Üdvözítő;;Advent;népének;1b;4
7;Ébredj, ember, mély álmodból;;Advent;népének;2b;4
8;Hív minket most egy tiszta szó;;Advent;himnusz;1b;5
9;Csillagoknak teremtője;;Advent;himnusz;1b;7
10;Az Úristen Ádám atyánknak;;Advent;népének;1b;8
11;E világot Ősatyánk elveszté;;Advent;népének;-;5
12;Bűnös néped sírva kiált hozzád;;Advent;népének;3b;3
13;Íme, kedveseim;;Advent;processziós ének;2#;5
14;Harmatozzatok, magasságos egek;;Advent;processziós ének;4#;10
15;Ó jöjj, ó jöjj el, Bölcsesség;;Advent;népének;1#;7
16;Ó, fényességes szép Hajnal;;Advent;népének;-;4
17;Ó, fényességes szép Hajnal;;Advent;népének;-;1
18;Ó, fényességes szép Hajnal;;Advent;népének;-;1
19;Üdvözlégy, szent Szűz;;Advent, Ádvent 4. vasárnapja, Roráte misék;népének, offertórium parafrázis;2#;7
20;Menj el sietséggel;;Advent;népének;1b;11
21;Ave Maria, Istennek Anyja;;Advent;népének;2b;3
